[ 2025-09-13 14:08:39,682 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-13 14:08:43,588 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-13 14:08:43,588 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-13 14:08:43,589 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-13 14:08:43,869 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-13 14:08:43,870 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-13 14:08:43,928 ] 26 root - INFO - Initiate the data Validation
[ 2025-09-13 14:08:44,085 ] 32 root - INFO - Required number of columns:2
[ 2025-09-13 14:08:44,085 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-13 14:08:44,085 ] 32 root - INFO - Required number of columns:2
[ 2025-09-13 14:08:44,086 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-13 14:08:44,663 ] 28 root - INFO - data Validation Completed
[ 2025-09-13 14:08:44,671 ] 31 root - INFO - data Transformation started
[ 2025-09-13 14:08:44,672 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-13 14:08:44,673 ] 65 root - INFO - Starting data transformation
[ 2025-09-13 14:08:44,802 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-13 14:08:44,803 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-13 14:08:44,839 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-13 14:08:44,848 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-13 14:08:44,848 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-13 14:08:44,853 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-13 14:08:44,858 ] 35 root - INFO - data Transformation completed
[ 2025-09-13 14:08:44,858 ] 37 root - INFO - Model Training sstared
